Company,Date,Revenue,COGS,Opex,EBIT,Tax,NetProfit
Alpha Pvt Ltd,2022-01-31,1457184.7,674808.97,237634.77,544740.96,136185.24,408555.72
Alpha Pvt Ltd,2022-02-28,2498672.72,1378793.7,415167.05,704711.97,176177.99,528533.98
Alpha Pvt Ltd,2022-03-31,2141489.25,1446147.09,333479.24,361862.92,90465.73,271397.19
Alpha Pvt Ltd,2022-04-30,1246852.64,728224.92,249158.13,269469.59,67367.4,202102.19
Alpha Pvt Ltd,2022-05-31,1710699.87,1134231.06,297575.15,278893.66,69723.41,209170.25
Alpha Pvt Ltd,2022-06-30,2825718.27,1509793.04,565339.93,750585.3,187646.33,562938.97
Alpha Pvt Ltd,2022-07-31,786660.38,402212.25,118196.18,266251.95,66562.99,199688.96
Alpha Pvt Ltd,2022-08-31,1785543.69,998242.03,291297.21,496004.45,124001.11,372003.34
Alpha Pvt Ltd,2022-09-30,2632968.13,1578200.74,422542.79,632224.6,158056.15,474168.45
Alpha Pvt Ltd,2022-10-31,1566629.8,828535.27,340347.59,397746.94,99436.74,298310.2
Alpha Pvt Ltd,2022-11-30,1660556.92,1123117.11,272189.66,265250.15,66312.54,198937.61
Alpha Pvt Ltd,2022-12-31,1952645.52,948094.86,524306.37,480244.29,120061.07,360183.22
Alpha Pvt Ltd,2023-01-31,2745694.81,1250139.54,787115.42,708439.85,177109.96,531329.89
Alpha Pvt Ltd,2023-02-28,1680549.0,997157.15,318965.27,364426.58,91106.65,273319.93
Alpha Pvt Ltd,2023-03-31,1778009.02,1172524.78,471739.95,133744.29,33436.07,100308.22
Alpha Pvt Ltd,2023-04-30,1782824.36,955354.14,481762.8,345707.42,86426.85,259280.57
Alpha Pvt Ltd,2023-05-31,3102965.04,1556806.02,748855.24,797303.78,199325.95,597977.83
Alpha Pvt Ltd,2023-06-30,3093393.04,1799639.37,839549.28,454204.39,113551.1,340653.29
Alpha Pvt Ltd,2023-07-31,2502026.95,1323111.35,524764.43,654151.17,163537.79,490613.38
Alpha Pvt Ltd,2023-08-31,2193093.2,1408667.13,497640.96,286785.11,71696.28,215088.83
Alpha Pvt Ltd,2023-09-30,2368684.29,1471448.72,582111.25,315124.32,78781.08,236343.24
Alpha Pvt Ltd,2023-10-31,2745366.01,1692969.5,778351.86,274044.65,68511.16,205533.49
Alpha Pvt Ltd,2023-11-30,1532083.07,875637.75,383435.25,273010.07,68252.52,204757.55
Alpha Pvt Ltd,2023-12-31,2587914.52,1406869.03,400547.57,780497.92,195124.48,585373.44
Alpha Pvt Ltd,2024-01-31,1373059.67,876758.04,243333.27,252968.36,63242.09,189726.27
Alpha Pvt Ltd,2024-02-29,1681124.25,1101216.31,482561.48,97346.46,24336.62,73009.84
Alpha Pvt Ltd,2024-03-31,2453552.6,1507753.56,430645.18,515153.86,128788.46,386365.4
Alpha Pvt Ltd,2024-04-30,1285659.65,686836.72,268290.17,330532.76,82633.19,247899.57
Alpha Pvt Ltd,2024-05-31,1929965.64,903846.71,421726.56,604392.37,151098.09,453294.28
Alpha Pvt Ltd,2024-06-30,1569122.55,930948.06,314477.13,323697.36,80924.34,242773.02
Alpha Pvt Ltd,2024-07-31,1872190.31,930975.59,305585.63,635629.09,158907.27,476721.82
Alpha Pvt Ltd,2024-08-31,600705.45,364675.89,91261.79,144767.77,36191.94,108575.83
Alpha Pvt Ltd,2024-09-30,1114233.45,599433.55,205430.62,309369.28,77342.32,232026.96
Alpha Pvt Ltd,2024-10-31,1650061.38,961984.75,426622.55,261454.08,65363.52,196090.56
Alpha Pvt Ltd,2024-11-30,2463731.22,1668656.38,605634.72,189440.12,47360.03,142080.09
Alpha Pvt Ltd,2024-12-31,1913182.16,1335302.19,563640.45,14239.52,3559.88,10679.64
Alpha Pvt Ltd,2025-01-31,2001422.96,1215859.8,370275.21,415287.95,103821.99,311465.96
Alpha Pvt Ltd,2025-02-28,2344111.36,1338377.11,414060.22,591674.03,147918.51,443755.52
Alpha Pvt Ltd,2025-03-31,1560231.83,1089025.35,338063.21,133143.27,33285.82,99857.45
Alpha Pvt Ltd,2025-04-30,2141813.66,1366289.79,335449.74,440074.13,110018.53,330055.6
Alpha Pvt Ltd,2025-05-31,1597316.74,772593.2,285882.23,538841.31,134710.33,404130.98
Alpha Pvt Ltd,2025-06-30,1136165.25,584091.86,230422.41,321650.98,80412.74,241238.24
Alpha Pvt Ltd,2025-07-31,1804550.1,934725.31,388231.43,481593.36,120398.34,361195.02
Alpha Pvt Ltd,2025-08-31,2286902.93,1269435.41,380296.24,637171.28,159292.82,477878.46
Alpha Pvt Ltd,2025-09-30,2169294.53,1010136.76,440929.11,718228.66,179557.17,538671.49
Alpha Pvt Ltd,2025-10-31,1994084.75,941601.29,428688.43,623795.03,155948.76,467846.27
Alpha Pvt Ltd,2025-11-30,3196182.63,1445122.98,736305.08,1014754.57,253688.64,761065.93
Alpha Pvt Ltd,2025-12-31,2206456.08,1033440.04,560728.64,612287.4,153071.85,459215.55
Beta Traders,2022-01-31,2489368.0,1371770.76,741339.33,376257.91,94064.48,282193.43
Beta Traders,2022-02-28,3119071.67,1608302.54,688929.98,821839.15,205459.79,616379.36
Beta Traders,2022-03-31,1352957.34,862785.95,270895.32,219276.07,54819.02,164457.05
Beta Traders,2022-04-30,1480605.89,795221.22,364035.37,321349.3,80337.32,241011.98
Beta Traders,2022-05-31,2871856.11,1988534.97,811534.9,71786.24,17946.56,53839.68
Beta Traders,2022-06-30,1600968.63,888152.48,412501.87,300314.28,75078.57,225235.71
Beta Traders,2022-07-31,2014841.62,1248724.26,414687.54,351429.82,87857.46,263572.36
Beta Traders,2022-08-31,2534657.98,1289484.08,409997.33,835176.57,208794.14,626382.43
Beta Traders,2022-09-30,2445353.2,1637719.64,387769.15,419864.41,104966.1,314898.31
Beta Traders,2022-10-31,2877443.09,1667979.04,663626.01,545838.04,136459.51,409378.53
Beta Traders,2022-11-30,2747822.07,1336911.08,682530.86,728380.13,182095.03,546285.1
Beta Traders,2022-12-31,2534696.33,1720946.77,675293.66,138455.9,34613.97,103841.93
Beta Traders,2023-01-31,1613645.64,883172.17,272658.5,457814.97,114453.74,343361.23
Beta Traders,2023-02-28,2397431.33,1663175.77,545572.71,188682.85,47170.71,141512.14
Beta Traders,2023-03-31,2157136.0,1310253.91,583163.38,263718.71,65929.68,197789.03
Beta Traders,2023-04-30,1336867.27,730680.23,212974.14,393212.9,98303.23,294909.67
Beta Traders,2023-05-31,2708649.52,1310997.06,677885.78,719766.68,179941.67,539825.01
Beta Traders,2023-06-30,2403618.27,1291668.22,674603.3,437346.75,109336.69,328010.06
Beta Traders,2023-07-31,2022745.04,1284526.29,600888.52,137330.23,34332.56,102997.67
Beta Traders,2023-08-31,1883453.97,1162483.97,368348.73,352621.27,88155.32,264465.95
Beta Traders,2023-09-30,1400849.43,907438.45,216065.2,277345.78,69336.45,208009.33
Beta Traders,2023-10-31,2099762.04,1218697.04,589422.52,291642.48,72910.62,218731.86
Beta Traders,2023-11-30,2234219.56,1292897.69,381170.65,560151.22,140037.8,420113.42
Beta Traders,2023-12-31,1584422.51,911091.47,367298.7,306032.34,76508.09,229524.25
Beta Traders,2024-01-31,2581102.02,1399602.92,733071.78,448427.32,112106.83,336320.49
Beta Traders,2024-02-29,1451398.48,776527.52,276872.7,397998.26,99499.57,298498.69
Beta Traders,2024-03-31,938449.82,541087.05,169381.57,227981.2,56995.3,170985.9
Beta Traders,2024-04-30,2519863.55,1336823.66,528479.71,654560.18,163640.05,490920.13
Beta Traders,2024-05-31,1798316.98,1231065.98,291424.95,275826.05,68956.51,206869.54
Beta Traders,2024-06-30,1936985.21,967085.81,348511.87,621387.53,155346.88,466040.65
Beta Traders,2024-07-31,1581241.64,1104997.36,448473.82,27770.46,6942.61,20827.85
Beta Traders,2024-08-31,1197018.62,596762.65,280932.7,319323.27,79830.82,239492.45
Beta Traders,2024-09-30,2627618.69,1238331.02,519097.19,870190.48,217547.62,652642.86
Beta Traders,2024-10-31,1655565.51,886201.14,381859.99,387504.38,96876.1,290628.28
Beta Traders,2024-11-30,2830476.24,1931357.29,768057.98,131060.97,32765.24,98295.73
Beta Traders,2024-12-31,2403654.09,1402642.38,643967.79,357043.92,89260.98,267782.94
Beta Traders,2025-01-31,1842620.93,1052117.68,478315.0,312188.25,78047.06,234141.19
Beta Traders,2025-02-28,1457048.8,938687.09,274694.15,243667.56,60916.89,182750.67
Beta Traders,2025-03-31,1633769.01,1075337.39,386699.44,171732.18,42933.04,128799.14
Beta Traders,2025-04-30,1393738.43,796563.31,291809.8,305365.32,76341.33,229023.99
Beta Traders,2025-05-31,3043556.68,1540153.67,685374.37,818028.64,204507.16,613521.48
Beta Traders,2025-06-30,2082220.62,1002644.53,510596.75,568979.34,142244.83,426734.51
Beta Traders,2025-07-31,2575102.77,1737079.51,691618.28,146404.98,36601.25,109803.73
Beta Traders,2025-08-31,1366323.98,822922.51,306290.44,237111.03,59277.76,177833.27
Beta Traders,2025-09-30,2090517.56,1304369.12,351933.3,434215.14,108553.79,325661.35
Beta Traders,2025-10-31,2588930.97,1198956.83,722951.36,667022.78,166755.7,500267.08
Beta Traders,2025-11-30,1832494.62,990390.53,458750.54,383353.55,95838.39,287515.16
Beta Traders,2025-12-31,2515557.23,1396613.27,512672.03,606271.93,151567.98,454703.95
Gamma Retail,2022-01-31,1457716.04,936686.77,293664.17,227365.1,56841.28,170523.82
Gamma Retail,2022-02-28,1318264.23,841617.44,359980.68,116666.11,29166.53,87499.58
Gamma Retail,2022-03-31,2189700.31,1084271.74,649431.32,455997.25,113999.31,341997.94
Gamma Retail,2022-04-30,1810411.78,842946.82,384185.86,583279.1,145819.77,437459.33
Gamma Retail,2022-05-31,2321027.34,1334866.23,636898.4,349262.71,87315.68,261947.03
Gamma Retail,2022-06-30,1011056.03,499178.25,236440.07,275437.71,68859.43,206578.28
Gamma Retail,2022-07-31,2356132.32,1277328.36,679160.86,399643.1,99910.77,299732.33
Gamma Retail,2022-08-31,3299151.96,1585512.05,626219.98,1087419.93,271854.98,815564.95
Gamma Retail,2022-09-30,1987687.01,1301836.89,394228.11,291622.01,72905.5,218716.51
Gamma Retail,2022-10-31,2017071.06,1383822.22,318173.97,315074.87,78768.72,236306.15
Gamma Retail,2022-11-30,2089774.74,1143325.25,347153.14,599296.35,149824.09,449472.26
Gamma Retail,2022-12-31,1069012.14,634333.18,314790.6,119888.36,29972.09,89916.27
Gamma Retail,2023-01-31,2213073.32,1175526.53,546685.27,490861.52,122715.38,368146.14
Gamma Retail,2023-02-28,1197295.13,618377.29,258475.96,320441.88,80110.47,240331.41
Gamma Retail,2023-03-31,1786160.2,1058979.15,334479.92,392701.13,98175.28,294525.85
Gamma Retail,2023-04-30,2621434.77,1632150.03,590214.39,399070.35,99767.59,299302.76
Gamma Retail,2023-05-31,1632391.52,1104093.79,312200.09,216097.64,54024.41,162073.23
Gamma Retail,2023-06-30,2250624.49,1550035.82,399105.21,301483.46,75370.87,226112.59
Gamma Retail,2023-07-31,2506369.53,1140343.14,624162.96,741863.43,185465.86,556397.57
Gamma Retail,2023-08-31,2139370.43,1355164.15,474080.77,310125.51,77531.38,232594.13
Gamma Retail,2023-09-30,1314525.76,605588.9,393989.84,314947.02,78736.76,236210.26
Gamma Retail,2023-10-31,1833762.36,890086.13,514498.87,429177.36,107294.34,321883.02
Gamma Retail,2023-11-30,2979705.67,2004993.76,545669.18,429042.73,107260.68,321782.05
Gamma Retail,2023-12-31,987477.12,657644.71,216762.04,113070.37,28267.59,84802.78
Gamma Retail,2024-01-31,1862106.99,1256727.87,527215.58,78163.54,19540.88,58622.66
Gamma Retail,2024-02-29,1723945.96,1109487.42,333250.02,281208.52,70302.13,210906.39
Gamma Retail,2024-03-31,2060373.68,1225976.34,612336.95,222060.39,55515.1,166545.29
Gamma Retail,2024-04-30,2374107.81,1258647.12,493755.38,621705.31,155426.33,466278.98
Gamma Retail,2024-05-31,2804345.48,1744295.39,446999.62,613050.47,153262.62,459787.85
Gamma Retail,2024-06-30,1864883.8,957320.36,326733.34,580830.1,145207.52,435622.58
Gamma Retail,2024-07-31,2406170.66,1333052.66,514310.49,558807.51,139701.88,419105.63
Gamma Retail,2024-08-31,2249870.07,1353892.25,505144.1,390833.72,97708.43,293125.29
Gamma Retail,2024-09-30,2237173.65,1098882.66,351220.96,787070.03,196767.51,590302.52
Gamma Retail,2024-10-31,1718038.03,998511.76,454555.93,264970.34,66242.59,198727.75
Gamma Retail,2024-11-30,1501339.27,1023498.22,414288.19,63552.86,15888.22,47664.64
Gamma Retail,2024-12-31,1449978.44,762236.56,405777.9,281963.98,70490.99,211472.99
Gamma Retail,2025-01-31,1621781.4,919303.36,311977.31,390500.73,97625.18,292875.55
Gamma Retail,2025-02-28,2160843.29,1022164.62,467621.32,671057.35,167764.34,503293.01
Gamma Retail,2025-03-31,2380474.7,1395530.3,456800.97,528143.43,132035.86,396107.57
Gamma Retail,2025-04-30,2161734.42,1078326.54,629353.46,454054.42,113513.6,340540.82
Gamma Retail,2025-05-31,1725522.45,805721.89,501969.73,417830.83,104457.71,313373.12
Gamma Retail,2025-06-30,2902985.05,1601295.96,780112.4,521576.69,130394.17,391182.52
Gamma Retail,2025-07-31,2759432.81,1318283.19,649849.59,791300.03,197825.01,593475.02
Gamma Retail,2025-08-31,1822999.94,1167493.02,392677.39,262829.53,65707.38,197122.15
Gamma Retail,2025-09-30,1588284.3,856270.37,355748.4,376265.53,94066.38,282199.15
Gamma Retail,2025-10-31,2065107.48,1029693.52,375321.94,660092.02,165023.01,495069.01
Gamma Retail,2025-11-30,2633649.32,1344024.68,409884.06,879740.58,219935.14,659805.44
Gamma Retail,2025-12-31,2166382.49,1467737.21,348822.22,349823.06,87455.76,262367.3
Delta Services,2022-01-31,2278274.35,1553292.21,345485.31,379496.83,94874.21,284622.62
Delta Services,2022-02-28,1893959.94,1162992.47,439472.84,291494.63,72873.66,218620.97
Delta Services,2022-03-31,2228135.45,1025968.2,648877.64,553289.61,138322.4,414967.21
Delta Services,2022-04-30,2772272.23,1753995.34,781419.49,236857.4,59214.35,177643.05
Delta Services,2022-05-31,1880165.61,1050854.57,364202.13,465108.91,116277.23,348831.68
Delta Services,2022-06-30,2071653.87,1028538.83,345775.45,697339.59,174334.9,523004.69
Delta Services,2022-07-31,2126908.24,1313870.9,581219.19,231818.15,57954.54,173863.61
Delta Services,2022-08-31,2141862.68,1077362.88,329621.84,734877.96,183719.49,551158.47
Delta Services,2022-09-30,1294055.56,699285.89,223782.58,370987.09,92746.77,278240.32
Delta Services,2022-10-31,1061565.67,537400.1,194592.9,329572.67,82393.17,247179.5
Delta Services,2022-11-30,1490172.46,917358.14,320670.93,252143.39,63035.85,189107.54
Delta Services,2022-12-31,2083971.15,1229795.9,434535.13,419640.12,104910.03,314730.09
Delta Services,2023-01-31,2276928.08,1584554.57,511261.45,181112.06,45278.01,135834.05
Delta Services,2023-02-28,1734662.72,799070.04,296425.06,639167.62,159791.9,479375.72
Delta Services,2023-03-31,2688628.74,1701378.28,771351.76,215898.7,53974.68,161924.02
Delta Services,2023-04-30,1928412.01,928520.16,422352.43,577539.42,144384.86,433154.56
Delta Services,2023-05-31,2010158.0,1337835.96,467904.54,204417.5,51104.38,153313.12
Delta Services,2023-06-30,1903018.06,864646.99,434137.11,604233.96,151058.49,453175.47
Delta Services,2023-07-31,2067013.4,1079371.96,376208.88,611432.56,152858.14,458574.42
Delta Services,2023-08-31,2352237.04,1609293.36,390139.78,352803.9,88200.98,264602.92
Delta Services,2023-09-30,2332826.72,1533658.89,613420.2,185747.63,46436.91,139310.72
Delta Services,2023-10-31,1550788.53,927690.68,308187.64,314910.21,78727.55,236182.66
Delta Services,2023-11-30,2761831.89,1299973.88,691319.04,770538.97,192634.74,577904.23
Delta Services,2023-12-31,1452486.77,1001934.72,257045.85,193506.2,48376.55,145129.65
Delta Services,2024-01-31,2039613.51,982148.85,451314.71,606149.95,151537.49,454612.46
Delta Services,2024-02-29,1862801.71,1234738.19,280905.46,347158.06,86789.51,260368.55
Delta Services,2024-03-31,1475504.16,954958.72,240427.49,280117.95,70029.49,210088.46
Delta Services,2024-04-30,1962439.71,898940.2,337463.84,726035.67,181508.92,544526.75
Delta Services,2024-05-31,1629593.11,919744.92,473468.51,236379.68,59094.92,177284.76
Delta Services,2024-06-30,2036453.62,1253083.69,323681.72,459688.21,114922.05,344766.16
Delta Services,2024-07-31,2201542.98,1074186.46,482578.64,644777.88,161194.47,483583.41
Delta Services,2024-08-31,2735964.68,1292939.86,684681.84,758342.98,189585.74,568757.24
Delta Services,2024-09-30,2153692.11,1162419.2,631918.12,359354.79,89838.7,269516.09
Delta Services,2024-10-31,1694387.33,1109696.85,461781.69,122908.79,30727.2,92181.59
Delta Services,2024-11-30,1804190.09,917941.71,387350.82,498897.56,124724.39,374173.17
Delta Services,2024-12-31,2069989.05,1279038.99,338257.86,452692.2,113173.05,339519.15
Delta Services,2025-01-31,2046730.41,925910.89,407518.95,713300.57,178325.14,534975.43
Delta Services,2025-02-28,2729794.63,1501872.66,731677.36,496244.61,124061.15,372183.46
Delta Services,2025-03-31,2697676.46,1763371.42,428103.1,506201.94,126550.49,379651.45
Delta Services,2025-04-30,1820532.04,848642.35,525617.9,446271.79,111567.95,334703.84
Delta Services,2025-05-31,1725678.94,900833.73,291237.94,533607.27,133401.82,400205.45
Delta Services,2025-06-30,721472.7,467626.81,193173.02,60672.87,15168.22,45504.65
Delta Services,2025-07-31,1725539.79,1037348.62,457463.2,230727.97,57681.99,173045.98
Delta Services,2025-08-31,1510971.15,1004643.87,420005.14,86322.14,21580.53,64741.61
Delta Services,2025-09-30,1822587.77,940119.28,388449.6,494018.89,123504.72,370514.17
Delta Services,2025-10-31,2195792.12,1528515.67,450492.51,216783.94,54195.99,162587.95
Delta Services,2025-11-30,2088596.16,1266779.85,578489.91,243326.4,60831.6,182494.8
Delta Services,2025-12-31,1985016.0,1328378.0,477194.01,179443.99,44861.0,134582.99
